,valence,arousal,likeability
"('LIWC', 'vad', 'TEPS', 'bert')",49.02/42.6,43.86/41.92,37.55/38.17
"('LIWC', 'vad', 'audio_pca(L1)', 'video_pca(L1)')",55.67/57.04,68.37/66.98,51.92/51.89
"('LIWC', 'vad', 'audio_pca(L1)', 'bert')",48.35/41.55,57.15/51.72,37.99/37.91
"('LIWC', 'vad', 'video_pca(L1)', 'bert')",52.58/55.04,54.16/56.31,45.09/51.54
"('LIWC', 'TEPS', 'audio_pca(L1)', 'video_pca(L1)')",55.71/54.14,67.31/65.56,51.36/55.95
"('LIWC', 'TEPS', 'audio_pca(L1)', 'bert')",50.1/42.3,58.03/51.97,38.89/36.77
"('LIWC', 'TEPS', 'video_pca(L1)', 'bert')",55.63/46.15,56.02/54.06,45.46/51.2
"('LIWC', 'audio_pca(L1)', 'video_pca(L1)', 'bert')",53.47/44.29,62.73/55.6,44.85/51.68
"('polarity', 'vad', 'TEPS', 'audio_pca(L1)')",49.85/37.77,66.09/61.1,50.92/40.14
"('polarity', 'vad', 'TEPS', 'video_pca(L1)')",58.42/64.01,55.98/47.76,54.69/50.78
"('polarity', 'vad', 'TEPS', 'bert')",52.88/42.67,46.14/44.05,37.31/35.92
"('polarity', 'vad', 'audio_pca(L1)', 'video_pca(L1)')",59.02/45.78,65.98/71.2,51.24/46.81
"('polarity', 'vad', 'audio_pca(L1)', 'bert')",51.03/42.67,56.29/52.25,38.19/36.56
"('polarity', 'vad', 'video_pca(L1)', 'bert')",56.88/47.7,54.02/50.04,43.8/51.6
"('polarity', 'TEPS', 'audio_pca(L1)', 'video_pca(L1)')",60.38/49.63,64.75/68.88,52.23/43.52
"('polarity', 'TEPS', 'audio_pca(L1)', 'bert')",51.3/42.08,56.64/52.26,39.06/36.73
"('polarity', 'TEPS', 'video_pca(L1)', 'bert')",57.4/47.78,54.19/52.87,44.53/45.51
"('polarity', 'audio_pca(L1)', 'video_pca(L1)', 'bert')",57.17/48.14,61.85/58.93,46.32/46.93
"('vad', 'TEPS', 'audio_pca(L1)', 'video_pca(L1)')",55.6/53.72,69.08/72.53,55.99/49.69
"('vad', 'TEPS', 'audio_pca(L1)', 'bert')",50.37/36.96,57.91/56.44,38.27/39.94
"('vad', 'TEPS', 'video_pca(L1)', 'bert')",55.97/53.42,53.3/52.76,44.89/52.01
"('vad', 'audio_pca(L1)', 'video_pca(L1)', 'bert')",57.49/47.25,62.07/56.13,44.71/48.94
"('TEPS', 'audio_pca(L1)', 'video_pca(L1)', 'bert')",58.31/48.51,61.9/59.24,45.48/49.11
